DATA,ALBUFEIRA DA BEMPOSTA (R.E.) (06S/01A),,ALBUFEIRA DA BOUÇÃ (R.E.) (14H/01A),,ALBUFEIRA DA VALEIRA (R.E.) (07M/02A),,
01/08/2016 00:00,289615.39,(vc),44300.74,(vc),501557.18,(vc),
01/09/2016 00:00,274389.12,(vc),86754.24,(vc),532604.16,(vc),
01/10/2016 00:00,347040.29,(vc),80941.25,(vc),633870.14,(vc),
01/11/2016 00:00,302616,(vc),92041.92,(vc),,,
01/12/2016 00:00,278928.58,(vc),89565.7,(vc),,,
01/01/2017 00:00,354352.32,(vc),157918.46,(vc),785735.42,(vc),
01/02/2017 00:00,278522.5,(vc),164553.98,(vc),625121.28,(vc),
01/03/2017 00:00,418205.38,(vc),62835.26,(vc),822804.48,(vc),
01/04/2017 00:00,231828.48,(vc),8216.64,(vc),419722.56,(vc),
01/05/2017 00:00,247805.57,(vc),50702.11,(vc),351995.33,(vc),
01/06/2017 00:00,214850.88,(vc),74260.8,(vc),318116.16,(vc),
01/07/2017 00:00,135071.71,(vc),72156.1,(vc),158802.34,(vc),
01/08/2017 00:00,160945.06,(vc),110216.16,(vc),225173.09,(vc),
01/09/2017 00:00,136935.36,(vc),53913.6,(vc),218298.24,(vc),
01/10/2017 00:00,89163.94,(vc),8329.82,(vc),203745.89,(vc),
01/12/2017 00:00,109278.72,(vc),48880.8,(vc),228092.54,(vc),
01/01/2018 00:00,174604.9,(vc),17007.84,(vc),281178.43,(vc),
01/02/2018 00:00,338978.3,(vc),14491.01,(vc),417602.3,(vc),
01/04/2018 00:00,1309841.28,(vc),246084.48,(vc),1623291.84,(vc),
01/05/2018 00:00,682911.65,(vc),58255.2,(vc),816804.86,(vc),
01/06/2018 00:00,735376.32,(vc),47770.56,(vc),903182.4,(vc),
01/07/2018 00:00,383037.98,(vc),125188.42,(vc),696142.94,(vc),
01/08/2018 00:00,245234.3,(vc),87717.6,(vc),502548.19,(vc),
01/09/2018 00:00,330713.28,(vc),116121.6,(vc),523998.72,(vc),
01/10/2018 00:00,217245.02,(vc),50166.43,(vc),293445.5,(vc),
01/11/2018 00:00,255960,(vc),123560.64,(vc),403315.2,(vc),
01/12/2018 00:00,419892.77,(vc),130438.08,(vc),614076.77,(vc),
